du-id,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
1001,2021-06-11T05:40:32.420,c1/B2,0.0,0.0,0.0,120,120,10,0.0,0.0,10.0
1001,2021-06-11T05:40:32.420,c1/B13,0.36354588943477,0.0,0.0,1,1,10,3.722709907812054,3.722709907812054,10.0
1001,2021-06-11T05:40:32.420,c1/N77,0.0,0.0,0.0,273,273,10,0.0,0.0,10.0
1002,2021-06-11T05:40:32.420,c2/B2,0.0,-832.0,-555.0,120,120,10,0.0,0.0,10.0
1002,2021-06-11T05:40:32.420,c2/B13,0.0,-832.0,-555.0,91,91,10,0.0,0.0,10.0
1002,2021-06-11T05:40:32.420,c2/N77,0.0,-832.0,-555.0,273,273,10,0.0,0.0,10.0
1003,2021-06-11T05:40:32.420,c3/B2,0.0,-139.0,-1109.0,120,120,10,0.0,0.0,10.0
1003,2021-06-11T05:40:32.420,c3/B13,0.386118816335772,-139.0,-1109.0,0,0,10,3.953856679278307,3.953856679278307,10.0
1003,2021-06-11T05:40:32.420,c3/N77,0.2,-139.0,-1109.0,222,222,10,2.048,2.048,10.0
1004,2021-06-11T05:40:32.420,c4/B2,0.25,832.0,-555.0,41,41,10,2.56,2.56,10.0
1004,2021-06-11T05:40:32.420,c4/B13,0.0,832.0,-555.0,91,91,10,0.0,0.0,10.0
1004,2021-06-11T05:40:32.420,c4/N77,0.0,832.0,-555.0,273,273,10,0.0,0.0,10.0
1005,2021-06-11T05:40:32.420,c5/B2,0.25,832.0,555.0,36,36,10,2.56,2.56,10.0
1005,2021-06-11T05:40:32.420,c5/B13,0.346915712727274,832.0,555.0,1,1,10,3.5524168983272872,3.5524168983272872,10.0
1005,2021-06-11T05:40:32.420,c5/N77,0.0,832.0,555.0,273,273,10,0.0,0.0,10.0
1006,2021-06-11T05:40:32.420,c6/B2,0.332526242159885,0.0,1109.0,0,0,10,3.4050687197172262,3.4050687197172262,10.0
1006,2021-06-11T05:40:32.420,c6/B13,0.392580206094584,0.0,1109.0,0,0,10,4.020021310408541,4.020021310408541,10.0
1006,2021-06-11T05:40:32.420,c6/N77,0.0,0.0,1109.0,273,273,10,0.0,0.0,10.0
1007,2021-06-11T05:40:32.420,c7/B2,0.0,-832.0,555.0,120,120,10,0.0,0.0,10.0
